Rangers , Marseille,group,"Ibrox Stadium, Glasgow",2,2,1992-11-25 19:30:00+01:00
Club Brugge , CSKA Moscow,group,"Olympiastadion, Bruges",1,0,1992-11-25 20:30:00+01:00
Marseille , Club Brugge,group,"Stade Vélodrome, Marseille",3,0,1992-12-09 20:30:00+01:00
CSKA Moscow , Rangers,group,"Ruhrstadion, Bochum",0,1,1992-12-09 20:30:00+01:00
CSKA Moscow , Marseille,group,"Olympiastadion, Berlin",1,1,1993-03-03 20:30:00+01:00
Club Brugge , Rangers,group,"Olympiastadion, Bruges",1,1,1993-03-03 20:30:00+01:00
Marseille , CSKA Moscow,group,"Stade Vélodrome, Marseille",6,0,1993-03-17 20:30:00+01:00
Rangers , Club Brugge,group,"Ibrox Stadium, Glasgow",2,1,1993-03-17 19:30:00+01:00
Marseille , Rangers,group,"Stade Vélodrome, Marseille",1,1,1993-04-07 20:30:00+02:00
CSKA Moscow , Club Brugge,group,"Olympiastadion, Berlin",1,2,1993-04-07 20:30:00+02:00
Club Brugge , Marseille,group,"Olympiastadion, Bruges",0,1,1993-04-21 20:30:00+02:00
Rangers , CSKA Moscow,group,"Ibrox Stadium, Glasgow",0,0,1993-04-21 19:30:00+02:00
Milan , IFK Göteborg,group,"San Siro, Milan",4,0,1992-11-25 20:30:00+01:00
Porto , PSV Eindhoven,group,"Estádio das Antas, Porto",2,2,1992-11-25 20:30:00+01:00
IFK Göteborg , Porto,group,"Ullevi, Gothenburg",1,0,1992-12-09 20:30:00+01:00
PSV Eindhoven , Milan,group,"Philips Stadion, Eindhoven",1,2,1992-12-09 20:30:00+01:00
PSV Eindhoven , IFK Göteborg,group,"Philips Stadion, Eindhoven",1,3,1993-03-03 20:30:00+01:00
Porto , Milan,group,"Estádio das Antas, Porto",0,1,1993-03-03 20:30:00+01:00
IFK Göteborg , PSV Eindhoven,group,"Ullevi, Gothenburg",3,0,1993-03-17 20:30:00+01:00
Milan , Porto,group,"San Siro, Milan",1,0,1993-03-17 20:30:00+01:00
IFK Göteborg , Milan,group,"Ullevi, Gothenburg",0,1,1993-04-07 20:30:00+02:00
PSV Eindhoven , Porto,group,"Philips Stadion, Eindhoven",0,1,1993-04-07 20:30:00+02:00
Milan , PSV Eindhoven,group,"San Siro, Milan",2,0,1993-04-21 20:30:00+02:00
Porto , IFK Göteborg,group,"Estádio das Antas, Porto",2,0,1993-04-21 20:30:00+02:00
Monaco , Spartak Moscow,group,"Stade Louis II, Monaco",4,1,1993-11-24 20:30:00+01:00
Galatasaray , Barcelona,group,"Ali Sami Yen Stadium, Istanbul",0,0,1993-11-24 21:30:00+01:00
Barcelona , Monaco,group,"Camp Nou, Barcelona",2,0,1993-12-08 20:30:00+01:00
Spartak Moscow , Galatasaray,group,"Luzhniki Stadium, Moscow",0,0,1993-12-08 20:00:00+01:00
Monaco , Galatasaray,group,"Stade Louis II, Monaco",3,0,1994-03-02 20:30:00+01:00
Spartak Moscow , Barcelona,group,"Luzhniki Stadium, Moscow",2,2,1994-03-02 20:00:00+01:00
